param,Uupdate_P0,Uupdate_P0_std,Uupdate_P1,Uupdate_P1_std,Vupdate_P0,Vupdate_P0_std,Vupdate_P1,Vupdate_P1_std,preprocess_P0,preprocess_P1,online_P0,online_P1,online_avg_P0,online_avg_P1,p2_total
10,0.000680536,6.145808317224545e-05,0.0006865279999999999,6.199399830388776e-05,0.008800800000000001,0.0008442469965036055,0.008798568000000001,0.0008428340219223306,0.0347062,0.036926799999999996,0.2259464,0.2259598,0.009037856,0.009038392,0.0429546
50,0.003352824,0.0005874046232834287,0.0033605040000000003,0.0005892568957658086,0.044193064,0.006389462999033457,0.044192264,0.006394040728581692,0.108477,0.10970500000000001,1.1347952,1.134799,0.045391808000000006,0.045391959999999995,0.117175
100,0.006855616,0.002277187221971064,0.00685288,0.0022749675385733367,0.08438918399999999,0.016604537088041816,0.084373152,0.016602727482767126,0.20080899999999996,0.2019644,2.174125,2.1740808,0.086965,0.086963232,0.209719
150,0.009720079999999999,0.0022073455042684216,0.009723279999999999,0.002203289098799543,0.12292993599999999,0.020332730649492203,0.122919976,0.02032554037194563,0.28990380000000004,0.292081,3.1603077999999996,3.1602648,0.12641231199999997,0.126410592,0.3023008
