param,Uupdate_P0,Uupdate_P0_std,Uupdate_P1,Uupdate_P1_std,Vupdate_P0,Vupdate_P0_std,Vupdate_P1,Vupdate_P1_std,preprocess_P0,preprocess_P1,online_P0,online_P1,online_avg_P0,online_avg_P1,p2_total
10,0.004261823999999999,0.00042866853638637005,0.004265776,0.0004272149408964249,0.053953824000000004,0.005824362997487999,0.053953664,0.005828509467548494,0.13272319999999999,0.134013,1.3873676,1.3873989999999998,0.055494704000000006,0.05549595999999999,0.1415912
50,0.004495664,0.001147558250480569,0.004499448,0.0011442850237757122,0.05870080800000001,0.013222405113016233,0.05871110399999999,0.013229019848302537,0.13682100000000003,0.1358938,1.5086012,1.5085712,0.060344048,0.06034284799999999,0.14634439999999999
100,0.004433440000000001,0.0010901521953795594,0.004432607999999999,0.0010872442377381822,0.05672767199999999,0.011692526629555246,0.056725544,0.011685124964102797,0.13566699999999998,0.1359582,1.4584688,1.4584004000000002,0.05833875200000001,0.058336016000000004,0.1459056
150,0.004464008,0.000997542178339593,0.004471392,0.0009929090642429323,0.056209527999999995,0.011182305136478407,0.056217048000000006,0.011165048869407624,0.1383976,0.1391598,1.4453754,1.4455136,0.057815016,0.057820543999999995,0.14807520000000002
