param,Uupdate_P0,Uupdate_P0_std,Uupdate_P1,Uupdate_P1_std,Vupdate_P0,Vupdate_P0_std,Vupdate_P1,Vupdate_P1_std,preprocess_P0,preprocess_P1,online_P0,online_P1,online_avg_P0,online_avg_P1,p2_total
10,0.003800328,0.0007350726891756872,0.0037974720000000005,0.0007304902710853555,0.018006112,0.003292492086476304,0.018,0.003293944516100955,0.0957386,0.0978192,0.49173619999999996,0.49165919999999996,0.019669448,0.019666368000000004,0.10430279999999999
50,0.003870656,0.00047576568477523143,0.003870880000000001,0.0004689338901700847,0.05033442400000001,0.004709802679935601,0.05033861599999999,0.004693319087286895,0.13838440000000002,0.13848319999999997,1.294789,1.2947804,0.05179155999999999,0.05179121600000001,0.15038479999999999
100,0.0047179200000000004,0.0010373953951029944,0.004718128,0.0010328694152167911,0.09156705600000001,0.017752284856238497,0.0915712,0.017758536262242483,0.1674938,0.167682,2.3280176,2.3279374,0.093120704,0.093117496,0.17643460000000002
150,0.0058335439999999995,0.004105921252841831,0.005162623999999999,0.001029063057628343,0.15084077599999998,0.033322432264484614,0.15012286400000002,0.03119235656825962,0.21034919999999996,0.2267582,3.8086149999999996,3.7917320000000005,0.1523446,0.15166928000000002,0.2109826
